iter	Passed	Remaining
1095	128421	105924
1096	128544	105811
1097	128666	105699
1098	128788	105585
1099	128916	105476
1100	129037	105362
1101	129155	105246
1102	129285	105139
1103	129407	105026
1104	129540	104921
1105	129659	104806
1106	129784	104695
1107	129912	104586
1108	130042	104479
1109	130168	104369
1110	130289	104255
1111	130419	104147
1112	130538	104032
1113	130656	103915
1114	130776	103799
1115	130894	103683
1116	131021	103573
1117	131142	103459
1118	131266	103347
1119	131390	103235
1120	131514	103122
1121	131633	103007
1122	131764	102900
1123	131888	102788
1124	132018	102681
1125	132145	102571
1126	132272	102460
1127	132397	102349
1128	132549	102258
1129	132671	102145
1130	132790	102029
1131	132916	101918
1132	133048	101811
1133	133175	101701
1134	133308	101596
1135	133439	101489
1136	133567	101379
1137	133695	101270
1138	133820	101158
1139	133947	101047
1140	134069	100934
1141	134198	100825
1142	134343	100728
1143	134468	100616
1144	134602	100511
1145	134735	100404
1146	134866	100297
1147	134996	100188
1148	135124	100079
1149	135264	99978
1150	135390	99866
1151	135514	99753
1152	135640	99642
1153	135770	99533
1154	135896	99422
1155	136019	99308
1156	136143	99195
1157	136275	99088
1158	136402	98977
1159	136533	98869
1160	136664	98761
1161	136792	98650
1162	136916	98537
1163	137044	98427
1164	137174	98318
1165	137307	98211
1166	137445	98108
1167	137652	98053
1168	137869	98006
1169	138076	97951
1170	138289	97901
1171	138506	97852
1172	138728	97807
1173	138942	97757
1174	139155	97704
1175	139365	97650
1176	139573	97594
1177	139793	97546
1178	140000	97489
1179	140209	97433
1180	140407	97369
1181	140610	97309
1182	140848	97272
1183	141074	97227
1184	141284	97170
1185	141502	97118
1186	141702	97054
1187	141908	96994
1188	142109	96930
1189	142312	96868
1190	142507	96799
1191	142706	96733
1192	142951	96699
1193	143190	96659
1194	143413	96608
1195	143627	96551
1196	143820	96481
1197	144027	96419
1198	144239	96360
1199	144446	96297
1200	144643	96228
1201	144863	96174
1202	145067	96108
1203	145285	96052
1204	145494	95990
1205	145703	95927
1206	145914	95866
1207	146134	95810
1208	146338	95743
1209	146540	95675
1210	146744	95608
1211	146959	95548
1212	147171	95485
1213	147383	95422
1214	147593	95358
1215	147812	95300
1216	148027	95238
1217	148234	95172
1218	148428	95096
1219	148628	95024
1220	148834	94956
1221	149032	94883
1222	149249	94821
1223	149460	94755
1224	149696	94706
1225	149901	94636
1226	150119	94573
1227	150329	94507
1228	150533	94435
1229	150740	94366
1230	150940	94291
